(7, 17),N,{(7, 19): 0.2, (7, 18): 0.8}
(6, 13),W,{(4, 13): 0.2, (5, 13): 0.8}
(20, 15),N,{(20, 17): 0.2, (20, 16): 0.8}
(20, 15),S,{(20, 13): 0.2, (20, 14): 0.8}
(20, 15),W,{(18, 15): 0.2, (19, 15): 0.8}
(20, 15),E,{(20, 15): 1}
(12, 20),S,{(12, 18): 0.2, (12, 19): 0.8}
(12, 20),E,{(14, 20): 0.2, (13, 20): 0.8}
(12, 20),W,{(10, 20): 0.2, (11, 20): 0.8}
(12, 20),N,{(12, 20): 1}
(13, 3),N,{(13, 5): 0.2, (13, 4): 0.8}
(13, 3),S,{(13, 1): 0.2, (13, 2): 0.8}
(13, 3),E,{(15, 3): 0.2, (14, 3): 0.8}
(13, 3),W,{(11, 3): 0.2, (12, 3): 0.8}
(1, 10),N,{(1, 12): 0.2, (1, 11): 0.8}
(1, 10),S,{(1, 8): 0.2, (1, 9): 0.8}
(1, 10),E,{(3, 10): 0.2, (2, 10): 0.8}
(1, 10),W,{(0, 10): 1.0}
(13, 12),N,{(13, 14): 0.2, (13, 13): 0.8}
(13, 12),S,{(13, 10): 0.2, (13, 11): 0.8}
(13, 12),E,{(15, 12): 0.2, (14, 12): 0.8}
(13, 12),W,{(11, 12): 0.2, (12, 12): 0.8}
(16, 8),N,{(16, 10): 0.2, (16, 9): 0.8}
(16, 8),S,{(16, 6): 0.2, (16, 7): 0.8}
(16, 8),E,{(18, 8): 0.2, (17, 8): 0.8}
(16, 8),W,{(14, 8): 0.2, (15, 8): 0.8}
(1, 19),N,{(1, 20): 1.0}
(1, 19),S,{(1, 17): 0.2, (1, 18): 0.8}
(1, 19),E,{(3, 19): 0.2, (2, 19): 0.8}
(1, 19),W,{(0, 19): 1.0}
(16, 17),N,{(16, 19): 0.2, (16, 18): 0.8}
(16, 17),S,{(16, 15): 0.2, (16, 16): 0.8}
(16, 17),E,{(18, 17): 0.2, (17, 17): 0.8}
(16, 17),W,{(14, 17): 0.2, (15, 17): 0.8}
(17, 0),N,{(17, 2): 0.2, (17, 1): 0.8}
(17, 0),E,{(19, 0): 0.2, (18, 0): 0.8}
(17, 0),W,{(15, 0): 0.2, (16, 0): 0.8}
(17, 0),S,{(17, 0): 1}
(5, 7),N,{(5, 9): 0.2, (5, 8): 0.8}
(5, 7),S,{(5, 5): 0.2, (5, 6): 0.8}
(5, 7),E,{(7, 7): 0.2, (6, 7): 0.8}
(5, 7),W,{(3, 7): 0.2, (4, 7): 0.8}
(17, 9),N,{(17, 11): 0.2, (17, 10): 0.8}
(17, 9),S,{(17, 7): 0.2, (17, 8): 0.8}
(17, 9),E,{(19, 9): 0.2, (18, 9): 0.8}
(17, 9),W,{(15, 9): 0.2, (16, 9): 0.8}
(9, 5),N,{(9, 7): 0.2, (9, 6): 0.8}
(9, 5),S,{(9, 3): 0.2, (9, 4): 0.8}
(9, 5),E,{(11, 5): 0.2, (10, 5): 0.8}
(9, 5),W,{(7, 5): 0.2, (8, 5): 0.8}
(5, 16),N,{(5, 18): 0.2, (5, 17): 0.8}
(5, 16),S,{(5, 14): 0.2, (5, 15): 0.8}
(5, 16),E,{(7, 16): 0.2, (6, 16): 0.8}
(5, 16),W,{(3, 16): 0.2, (4, 16): 0.8}
(9, 14),N,{(9, 16): 0.2, (9, 15): 0.8}
(9, 14),S,{(9, 12): 0.2, (9, 13): 0.8}
(9, 14),E,{(11, 14): 0.2, (10, 14): 0.8}
(9, 14),W,{(7, 14): 0.2, (8, 14): 0.8}
(20, 1),N,{(20, 3): 0.2, (20, 2): 0.8}
(20, 1),S,{(20, 0): 1.0}
(20, 1),W,{(18, 1): 0.2, (19, 1): 0.8}
(20, 1),E,{(20, 1): 1}
(20, 10),N,{(20, 12): 0.2, (20, 11): 0.8}
(20, 10),S,{(20, 8): 0.2, (20, 9): 0.8}
(20, 10),W,{(18, 10): 0.2, (19, 10): 0.8}
(20, 10),E,{(20, 10): 1}
(12, 6),N,{(12, 8): 0.2, (12, 7): 0.8}
(12, 6),S,{(12, 4): 0.2, (12, 5): 0.8}
(12, 6),E,{(14, 6): 0.2, (13, 6): 0.8}
(12, 6),W,{(10, 6): 0.2, (11, 6): 0.8}
(20, 19),N,{(20, 20): 1.0}
(20, 19),S,{(20, 17): 0.2, (20, 18): 0.8}
(20, 19),W,{(18, 19): 0.2, (19, 19): 0.8}
(20, 19),E,{(20, 19): 1}
(12, 15),N,{(12, 17): 0.2, (12, 16): 0.8}
(12, 15),S,{(12, 13): 0.2, (12, 14): 0.8}
(12, 15),E,{(14, 15): 0.2, (13, 15): 0.8}
(12, 15),W,{(10, 15): 0.2, (11, 15): 0.8}
(4, 11),N,{(4, 13): 0.2, (4, 12): 0.8}
(4, 11),S,{(4, 9): 0.2, (4, 10): 0.8}
(4, 11),E,{(6, 11): 0.2, (5, 11): 0.8}
(4, 11),W,{(2, 11): 0.2, (3, 11): 0.8}
(4, 20),S,{(4, 18): 0.2, (4, 19): 0.8}
(4, 20),E,{(6, 20): 0.2, (5, 20): 0.8}
(4, 20),W,{(2, 20): 0.2, (3, 20): 0.8}
(4, 20),N,{(4, 20): 1}
(1, 5),N,{(1, 7): 0.2, (1, 6): 0.8}
(1, 5),S,{(1, 3): 0.2, (1, 4): 0.8}
(1, 5),E,{(3, 5): 0.2, (2, 5): 0.8}
(1, 5),W,{(0, 5): 1.0}
(13, 7),N,{(13, 9): 0.2, (13, 8): 0.8}
(13, 7),S,{(13, 5): 0.2, (13, 6): 0.8}
(13, 7),E,{(15, 7): 0.2, (14, 7): 0.8}
(13, 7),W,{(11, 7): 0.2, (12, 7): 0.8}
(16, 3),N,{(16, 5): 0.2, (16, 4): 0.8}
(16, 3),S,{(16, 1): 0.2, (16, 2): 0.8}
(16, 3),E,{(18, 3): 0.2, (17, 3): 0.8}
(16, 3),W,{(14, 3): 0.2, (15, 3): 0.8}
(1, 14),N,{(1, 16): 0.2, (1, 15): 0.8}
(1, 14),S,{(1, 12): 0.2, (1, 13): 0.8}
(1, 14),E,{(3, 14): 0.2, (2, 14): 0.8}
(1, 14),W,{(0, 14): 1.0}
(13, 16),N,{(13, 18): 0.2, (13, 17): 0.8}
(13, 16),S,{(13, 14): 0.2, (13, 15): 0.8}
(13, 16),E,{(15, 16): 0.2, (14, 16): 0.8}
(13, 16),W,{(11, 16): 0.2, (12, 16): 0.8}
(16, 12),N,{(16, 14): 0.2, (16, 13): 0.8}
(16, 12),S,{(16, 10): 0.2, (16, 11): 0.8}
(16, 12),E,{(18, 12): 0.2, (17, 12): 0.8}
(16, 12),W,{(14, 12): 0.2, (15, 12): 0.8}
(5, 2),N,{(5, 4): 0.2, (5, 3): 0.8}
(5, 2),S,{(5, 0): 0.2, (5, 1): 0.8}
(5, 2),E,{(7, 2): 0.2, (6, 2): 0.8}
(5, 2),W,{(3, 2): 0.2, (4, 2): 0.8}
(17, 4),N,{(17, 6): 0.2, (17, 5): 0.8}
(17, 4),S,{(17, 2): 0.2, (17, 3): 0.8}
(17, 4),E,{(19, 4): 0.2, (18, 4): 0.8}
(17, 4),W,{(15, 4): 0.2, (16, 4): 0.8}
(9, 0),N,{(9, 2): 0.2, (9, 1): 0.8}
(9, 0),E,{(11, 0): 0.2, (10, 0): 0.8}
(9, 0),W,{(7, 0): 0.2, (8, 0): 0.8}
(9, 0),S,{(9, 0): 1}
(5, 11),N,{(5, 13): 0.2, (5, 12): 0.8}
(5, 11),S,{(5, 9): 0.2, (5, 10): 0.8}
(5, 11),E,{(7, 11): 0.2, (6, 11): 0.8}
(5, 11),W,{(3, 11): 0.2, (4, 11): 0.8}
(9, 9),N,{(9, 11): 0.2, (9, 10): 0.8}
(9, 9),S,{(9, 7): 0.2, (9, 8): 0.8}
(9, 9),E,{(11, 9): 0.2, (10, 9): 0.8}
(9, 9),W,{(7, 9): 0.2, (8, 9): 0.8}
(8, 13),N,{(8, 15): 0.2, (8, 14): 0.8}
(8, 13),S,{(8, 11): 0.2, (8, 12): 0.8}
(8, 13),E,{(10, 13): 0.2, (9, 13): 0.8}
(8, 13),W,{(6, 13): 0.2, (7, 13): 0.8}
(19, 13),N,{(19, 15): 0.2, (19, 14): 0.8}
(19, 13),S,{(19, 11): 0.2, (19, 12): 0.8}
(19, 13),E,{(20, 13): 1.0}
(19, 13),W,{(17, 13): 0.2, (18, 13): 0.8}
(0, 18),N,{(0, 20): 0.2, (0, 19): 0.8}
(0, 18),S,{(0, 16): 0.2, (0, 17): 0.8}
(0, 18),E,{(2, 18): 0.2, (1, 18): 0.8}
(0, 18),W,{(0, 18): 1}
(11, 18),N,{(11, 20): 0.2, (11, 19): 0.8}
(11, 18),S,{(11, 16): 0.2, (11, 17): 0.8}
(11, 18),E,{(13, 18): 0.2, (12, 18): 0.8}
(11, 18),W,{(9, 18): 0.2, (10, 18): 0.8}
(20, 5),N,{(20, 7): 0.2, (20, 6): 0.8}
(20, 5),S,{(20, 3): 0.2, (20, 4): 0.8}
(20, 5),W,{(18, 5): 0.2, (19, 5): 0.8}
(20, 5),E,{(20, 5): 1}
(12, 1),N,{(12, 3): 0.2, (12, 2): 0.8}
(12, 1),S,{(12, 0): 1.0}
(12, 1),E,{(14, 1): 0.2, (13, 1): 0.8}
(12, 1),W,{(10, 1): 0.2, (11, 1): 0.8}
(20, 14),N,{(20, 16): 0.2, (20, 15): 0.8}
(20, 14),S,{(20, 12): 0.2, (20, 13): 0.8}
(20, 14),W,{(18, 14): 0.2, (19, 14): 0.8}
(20, 14),E,{(20, 14): 1}
(12, 10),N,{(12, 12): 0.2, (12, 11): 0.8}
(12, 10),S,{(12, 8): 0.2, (12, 9): 0.8}
(12, 10),E,{(14, 10): 0.2, (13, 10): 0.8}
(12, 10),W,{(10, 10): 0.2, (11, 10): 0.8}
(4, 6),N,{(4, 8): 0.2, (4, 7): 0.8}
(4, 6),S,{(4, 4): 0.2, (4, 5): 0.8}
(4, 6),E,{(6, 6): 0.2, (5, 6): 0.8}
(4, 6),W,{(2, 6): 0.2, (3, 6): 0.8}
(12, 19),N,{(12, 20): 1.0}
(12, 19),S,{(12, 17): 0.2, (12, 18): 0.8}
(12, 19),E,{(14, 19): 0.2, (13, 19): 0.8}
(12, 19),W,{(10, 19): 0.2, (11, 19): 0.8}
(4, 15),N,{(4, 17): 0.2, (4, 16): 0.8}
(4, 15),S,{(4, 13): 0.2, (4, 14): 0.8}
(4, 15),E,{(6, 15): 0.2, (5, 15): 0.8}
(4, 15),W,{(2, 15): 0.2, (3, 15): 0.8}
(1, 0),N,{(1, 2): 0.2, (1, 1): 0.8}
(1, 0),E,{(3, 0): 0.2, (2, 0): 0.8}
(1, 0),W,{(0, 0): 1.0}
(1, 0),S,{(1, 0): 1}
(13, 2),N,{(13, 4): 0.2, (13, 3): 0.8}
(13, 2),S,{(13, 0): 0.2, (13, 1): 0.8}
(13, 2),E,{(15, 2): 0.2, (14, 2): 0.8}
(13, 2),W,{(11, 2): 0.2, (12, 2): 0.8}
(1, 9),N,{(1, 11): 0.2, (1, 10): 0.8}
(1, 9),S,{(1, 7): 0.2, (1, 8): 0.8}
(1, 9),E,{(3, 9): 0.2, (2, 9): 0.8}
(1, 9),W,{(0, 9): 1.0}
(13, 11),N,{(13, 13): 0.2, (13, 12): 0.8}
(13, 11),S,{(13, 9): 0.2, (13, 10): 0.8}
(13, 11),E,{(15, 11): 0.2, (14, 11): 0.8}
(13, 11),W,{(11, 11): 0.2, (12, 11): 0.8}
(16, 7),N,{(16, 9): 0.2, (16, 8): 0.8}
(16, 7),S,{(16, 5): 0.2, (16, 6): 0.8}
(16, 7),E,{(18, 7): 0.2, (17, 7): 0.8}
(16, 7),W,{(14, 7): 0.2, (15, 7): 0.8}
(1, 18),N,{(1, 20): 0.2, (1, 19): 0.8}
(1, 18),S,{(1, 16): 0.2, (1, 17): 0.8}
(1, 18),E,{(3, 18): 0.2, (2, 18): 0.8}
(1, 18),W,{(0, 18): 1.0}
(16, 16),N,{(16, 18): 0.2, (16, 17): 0.8}
(16, 16),S,{(16, 14): 0.2, (16, 15): 0.8}
(16, 16),E,{(18, 16): 0.2, (17, 16): 0.8}
(16, 16),W,{(14, 16): 0.2, (15, 16): 0.8}
(15, 20),S,{(15, 18): 0.2, (15, 19): 0.8}
(15, 20),E,{(17, 20): 0.2, (16, 20): 0.8}
(15, 20),W,{(13, 20): 0.2, (14, 20): 0.8}
(15, 20),N,{(15, 20): 1}
(5, 6),N,{(5, 8): 0.2, (5, 7): 0.8}
(5, 6),S,{(5, 4): 0.2, (5, 5): 0.8}
(5, 6),E,{(7, 6): 0.2, (6, 6): 0.8}
(5, 6),W,{(3, 6): 0.2, (4, 6): 0.8}
(18, 8),N,{(18, 10): 0.2, (18, 9): 0.8}
(18, 8),S,{(18, 6): 0.2, (18, 7): 0.8}
(18, 8),E,{(20, 8): 0.2, (19, 8): 0.8}
(18, 8),W,{(16, 8): 0.2, (17, 8): 0.8}
(8, 8),N,{(8, 10): 0.2, (8, 9): 0.8}
(8, 8),S,{(8, 6): 0.2, (8, 7): 0.8}
(8, 8),E,{(10, 8): 0.2, (9, 8): 0.8}
(8, 8),W,{(6, 8): 0.2, (7, 8): 0.8}
(19, 8),N,{(19, 10): 0.2, (19, 9): 0.8}
(19, 8),S,{(19, 6): 0.2, (19, 7): 0.8}
(19, 8),E,{(20, 8): 1.0}
(19, 8),W,{(17, 8): 0.2, (18, 8): 0.8}
(0, 4),N,{(0, 6): 0.2, (0, 5): 0.8}
(0, 4),S,{(0, 2): 0.2, (0, 3): 0.8}
(0, 4),E,{(2, 4): 0.2, (1, 4): 0.8}
(0, 4),W,{(0, 4): 1}
(8, 17),N,{(8, 19): 0.2, (8, 18): 0.8}
(8, 17),S,{(8, 15): 0.2, (8, 16): 0.8}
(8, 17),E,{(10, 17): 0.2, (9, 17): 0.8}
(8, 17),W,{(6, 17): 0.2, (7, 17): 0.8}
(19, 17),N,{(19, 19): 0.2, (19, 18): 0.8}
(19, 17),S,{(19, 15): 0.2, (19, 16): 0.8}
(19, 17),E,{(20, 17): 1.0}
(19, 17),W,{(17, 17): 0.2, (18, 17): 0.8}
(0, 13),N,{(0, 15): 0.2, (0, 14): 0.8}
(0, 13),S,{(0, 11): 0.2, (0, 12): 0.8}
(0, 13),E,{(2, 13): 0.2, (1, 13): 0.8}
(0, 13),W,{(0, 13): 1}
(11, 13),N,{(11, 15): 0.2, (11, 14): 0.8}
(11, 13),S,{(11, 11): 0.2, (11, 12): 0.8}
(11, 13),E,{(13, 13): 0.2, (12, 13): 0.8}
(11, 13),W,{(9, 13): 0.2, (10, 13): 0.8}
(20, 0),N,{(20, 2): 0.2, (20, 1): 0.8}
(20, 0),W,{(18, 0): 0.2, (19, 0): 0.8}
(20, 0),S,{(20, 0): 1}
(20, 0),E,{(20, 0): 1}
(20, 9),N,{(20, 11): 0.2, (20, 10): 0.8}
(20, 9),S,{(20, 7): 0.2, (20, 8): 0.8}
(20, 9),W,{(18, 9): 0.2, (19, 9): 0.8}
(20, 9),E,{(20, 9): 1}
(12, 5),N,{(12, 7): 0.2, (12, 6): 0.8}
(12, 5),S,{(12, 3): 0.2, (12, 4): 0.8}
(12, 5),E,{(14, 5): 0.2, (13, 5): 0.8}
(12, 5),W,{(10, 5): 0.2, (11, 5): 0.8}
(20, 18),N,{(20, 20): 0.2, (20, 19): 0.8}
(20, 18),S,{(20, 16): 0.2, (20, 17): 0.8}
(20, 18),W,{(18, 18): 0.2, (19, 18): 0.8}
(20, 18),E,{(20, 18): 1}
(4, 1),N,{(4, 3): 0.2, (4, 2): 0.8}
(4, 1),S,{(4, 0): 1.0}
(4, 1),E,{(6, 1): 0.2, (5, 1): 0.8}
(4, 1),W,{(2, 1): 0.2, (3, 1): 0.8}
(12, 14),N,{(12, 16): 0.2, (12, 15): 0.8}
(12, 14),S,{(12, 12): 0.2, (12, 13): 0.8}
(12, 14),E,{(14, 14): 0.2, (13, 14): 0.8}
(12, 14),W,{(10, 14): 0.2, (11, 14): 0.8}
(4, 10),N,{(4, 12): 0.2, (4, 11): 0.8}
(4, 10),S,{(4, 8): 0.2, (4, 9): 0.8}
(4, 10),E,{(6, 10): 0.2, (5, 10): 0.8}
(4, 10),W,{(2, 10): 0.2, (3, 10): 0.8}
(4, 19),N,{(4, 20): 1.0}
(4, 19),S,{(4, 17): 0.2, (4, 18): 0.8}
(4, 19),E,{(6, 19): 0.2, (5, 19): 0.8}
(4, 19),W,{(2, 19): 0.2, (3, 19): 0.8}
(1, 4),N,{(1, 6): 0.2, (1, 5): 0.8}
(1, 4),S,{(1, 2): 0.2, (1, 3): 0.8}
(1, 4),E,{(3, 4): 0.2, (2, 4): 0.8}
(1, 4),W,{(0, 4): 1.0}
(16, 2),N,{(16, 4): 0.2, (16, 3): 0.8}
(16, 2),S,{(16, 0): 0.2, (16, 1): 0.8}
(16, 2),E,{(18, 2): 0.2, (17, 2): 0.8}
(16, 2),W,{(14, 2): 0.2, (15, 2): 0.8}
(1, 13),N,{(1, 15): 0.2, (1, 14): 0.8}
(1, 13),S,{(1, 11): 0.2, (1, 12): 0.8}
(1, 13),E,{(3, 13): 0.2, (2, 13): 0.8}
(1, 13),W,{(0, 13): 1.0}
(15, 15),N,{(15, 17): 0.2, (15, 16): 0.8}
(15, 15),S,{(15, 13): 0.2, (15, 14): 0.8}
(15, 15),E,{(17, 15): 0.2, (16, 15): 0.8}
(15, 15),W,{(13, 15): 0.2, (14, 15): 0.8}
(7, 20),S,{(7, 18): 0.2, (7, 19): 0.8}
(7, 20),E,{(9, 20): 0.2, (8, 20): 0.8}
(7, 20),W,{(5, 20): 0.2, (6, 20): 0.8}
(7, 20),N,{(7, 20): 1}
(18, 20),S,{(18, 18): 0.2, (18, 19): 0.8}
(18, 20),E,{(20, 20): 0.2, (19, 20): 0.8}
(18, 20),W,{(16, 20): 0.2, (17, 20): 0.8}
(18, 20),N,{(18, 20): 1}
(8, 3),N,{(8, 5): 0.2, (8, 4): 0.8}
(8, 3),S,{(8, 1): 0.2, (8, 2): 0.8}
(8, 3),E,{(10, 3): 0.2, (9, 3): 0.8}
(8, 3),W,{(6, 3): 0.2, (7, 3): 0.8}
(19, 3),N,{(19, 5): 0.2, (19, 4): 0.8}
(19, 3),S,{(19, 1): 0.2, (19, 2): 0.8}
(19, 3),E,{(20, 3): 1.0}
(19, 3),W,{(17, 3): 0.2, (18, 3): 0.8}
(8, 12),N,{(8, 14): 0.2, (8, 13): 0.8}
(8, 12),S,{(8, 10): 0.2, (8, 11): 0.8}
(8, 12),E,{(10, 12): 0.2, (9, 12): 0.8}
(8, 12),W,{(6, 12): 0.2, (7, 12): 0.8}
(19, 12),N,{(19, 14): 0.2, (19, 13): 0.8}
(19, 12),S,{(19, 10): 0.2, (19, 11): 0.8}
(19, 12),E,{(20, 12): 1.0}
(19, 12),W,{(17, 12): 0.2, (18, 12): 0.8}
(0, 8),N,{(0, 10): 0.2, (0, 9): 0.8}
(0, 8),S,{(0, 6): 0.2, (0, 7): 0.8}
(0, 8),E,{(2, 8): 0.2, (1, 8): 0.8}
(0, 8),W,{(0, 8): 1}
(11, 8),N,{(11, 10): 0.2, (11, 9): 0.8}
(11, 8),S,{(11, 6): 0.2, (11, 7): 0.8}
(11, 8),E,{(13, 8): 0.2, (12, 8): 0.8}
(11, 8),W,{(9, 8): 0.2, (10, 8): 0.8}
(0, 17),N,{(0, 19): 0.2, (0, 18): 0.8}
(0, 17),S,{(0, 15): 0.2, (0, 16): 0.8}
(0, 17),E,{(2, 17): 0.2, (1, 17): 0.8}
(0, 17),W,{(0, 17): 1}
(11, 17),N,{(11, 19): 0.2, (11, 18): 0.8}
(11, 17),S,{(11, 15): 0.2, (11, 16): 0.8}
(11, 17),E,{(13, 17): 0.2, (12, 17): 0.8}
(11, 17),W,{(9, 17): 0.2, (10, 17): 0.8}
(20, 4),N,{(20, 6): 0.2, (20, 5): 0.8}
(20, 4),S,{(20, 2): 0.2, (20, 3): 0.8}
(20, 4),W,{(18, 4): 0.2, (19, 4): 0.8}
(20, 4),E,{(20, 4): 1}
(12, 0),N,{(12, 2): 0.2, (12, 1): 0.8}
(12, 0),E,{(14, 0): 0.2, (13, 0): 0.8}
(12, 0),W,{(10, 0): 0.2, (11, 0): 0.8}
(12, 0),S,{(12, 0): 1}
(20, 13),N,{(20, 15): 0.2, (20, 14): 0.8}
(20, 13),S,{(20, 11): 0.2, (20, 12): 0.8}
(20, 13),W,{(18, 13): 0.2, (19, 13): 0.8}
(20, 13),E,{(20, 13): 1}
(12, 9),N,{(12, 11): 0.2, (12, 10): 0.8}
(12, 9),S,{(12, 7): 0.2, (12, 8): 0.8}
(12, 9),E,{(14, 9): 0.2, (13, 9): 0.8}
(12, 9),W,{(10, 9): 0.2, (11, 9): 0.8}
(4, 5),N,{(4, 7): 0.2, (4, 6): 0.8}
(4, 5),S,{(4, 3): 0.2, (4, 4): 0.8}
(4, 5),E,{(6, 5): 0.2, (5, 5): 0.8}
(4, 5),W,{(2, 5): 0.2, (3, 5): 0.8}
(4, 14),N,{(4, 16): 0.2, (4, 15): 0.8}
(4, 14),S,{(4, 12): 0.2, (4, 13): 0.8}
(4, 14),E,{(6, 14): 0.2, (5, 14): 0.8}
(4, 14),W,{(2, 14): 0.2, (3, 14): 0.8}
(15, 1),N,{(15, 3): 0.2, (15, 2): 0.8}
(15, 1),S,{(15, 0): 1.0}
(15, 1),E,{(17, 1): 0.2, (16, 1): 0.8}
(15, 1),W,{(13, 1): 0.2, (14, 1): 0.8}
(15, 10),N,{(15, 12): 0.2, (15, 11): 0.8}
(15, 10),S,{(15, 8): 0.2, (15, 9): 0.8}
(15, 10),E,{(17, 10): 0.2, (16, 10): 0.8}
(15, 10),W,{(13, 10): 0.2, (14, 10): 0.8}
(7, 6),N,{(7, 8): 0.2, (7, 7): 0.8}
(7, 6),S,{(7, 4): 0.2, (7, 5): 0.8}
(7, 6),E,{(9, 6): 0.2, (8, 6): 0.8}
(7, 6),W,{(5, 6): 0.2, (6, 6): 0.8}
(18, 6),N,{(18, 8): 0.2, (18, 7): 0.8}
(18, 6),S,{(18, 4): 0.2, (18, 5): 0.8}
(18, 6),E,{(20, 6): 0.2, (19, 6): 0.8}
(18, 6),W,{(16, 6): 0.2, (17, 6): 0.8}
(15, 19),N,{(15, 20): 1.0}
(15, 19),S,{(15, 17): 0.2, (15, 18): 0.8}
(15, 19),E,{(17, 19): 0.2, (16, 19): 0.8}
(15, 19),W,{(13, 19): 0.2, (14, 19): 0.8}
(7, 15),N,{(7, 17): 0.2, (7, 16): 0.8}
(7, 15),S,{(7, 13): 0.2, (7, 14): 0.8}
(7, 15),E,{(9, 15): 0.2, (8, 15): 0.8}
(7, 15),W,{(5, 15): 0.2, (6, 15): 0.8}
(18, 15),N,{(18, 17): 0.2, (18, 16): 0.8}
(18, 15),S,{(18, 13): 0.2, (18, 14): 0.8}
(18, 15),E,{(20, 15): 0.2, (19, 15): 0.8}
(18, 15),W,{(16, 15): 0.2, (17, 15): 0.8}
(8, 7),N,{(8, 9): 0.2, (8, 8): 0.8}
(8, 7),S,{(8, 5): 0.2, (8, 6): 0.8}
(8, 7),E,{(10, 7): 0.2, (9, 7): 0.8}
(8, 7),W,{(6, 7): 0.2, (7, 7): 0.8}
(19, 7),N,{(19, 9): 0.2, (19, 8): 0.8}
(19, 7),S,{(19, 5): 0.2, (19, 6): 0.8}
(19, 7),E,{(20, 7): 1.0}
(19, 7),W,{(17, 7): 0.2, (18, 7): 0.8}
(11, 3),N,{(11, 5): 0.2, (11, 4): 0.8}
(11, 3),S,{(11, 1): 0.2, (11, 2): 0.8}
(11, 3),E,{(13, 3): 0.2, (12, 3): 0.8}
(11, 3),W,{(9, 3): 0.2, (10, 3): 0.8}
(0, 3),N,{(0, 5): 0.2, (0, 4): 0.8}
(0, 3),S,{(0, 1): 0.2, (0, 2): 0.8}
(0, 3),E,{(2, 3): 0.2, (1, 3): 0.8}
(0, 3),W,{(0, 3): 1}
(8, 16),N,{(8, 18): 0.2, (8, 17): 0.8}
(8, 16),S,{(8, 14): 0.2, (8, 15): 0.8}
(8, 16),E,{(10, 16): 0.2, (9, 16): 0.8}
(8, 16),W,{(6, 16): 0.2, (7, 16): 0.8}
(19, 16),N,{(19, 18): 0.2, (19, 17): 0.8}
(19, 16),S,{(19, 14): 0.2, (19, 15): 0.8}
(19, 16),E,{(20, 16): 1.0}
(19, 16),W,{(17, 16): 0.2, (18, 16): 0.8}
(0, 12),N,{(0, 14): 0.2, (0, 13): 0.8}
(0, 12),S,{(0, 10): 0.2, (0, 11): 0.8}
(0, 12),E,{(2, 12): 0.2, (1, 12): 0.8}
(0, 12),W,{(0, 12): 1}
(11, 12),N,{(11, 14): 0.2, (11, 13): 0.8}
(11, 12),S,{(11, 10): 0.2, (11, 11): 0.8}
(11, 12),E,{(13, 12): 0.2, (12, 12): 0.8}
(11, 12),W,{(9, 12): 0.2, (10, 12): 0.8}
(12, 4),N,{(12, 6): 0.2, (12, 5): 0.8}
(12, 4),S,{(12, 2): 0.2, (12, 3): 0.8}
(12, 4),E,{(14, 4): 0.2, (13, 4): 0.8}
(12, 4),W,{(10, 4): 0.2, (11, 4): 0.8}
(4, 0),N,{(4, 2): 0.2, (4, 1): 0.8}
(4, 0),E,{(6, 0): 0.2, (5, 0): 0.8}
(4, 0),W,{(2, 0): 0.2, (3, 0): 0.8}
(4, 0),S,{(4, 0): 1}
(4, 9),N,{(4, 11): 0.2, (4, 10): 0.8}
(4, 9),S,{(4, 7): 0.2, (4, 8): 0.8}
(4, 9),E,{(6, 9): 0.2, (5, 9): 0.8}
(4, 9),W,{(2, 9): 0.2, (3, 9): 0.8}
(3, 13),N,{(3, 15): 0.2, (3, 14): 0.8}
(3, 13),S,{(3, 11): 0.2, (3, 12): 0.8}
(3, 13),E,{(5, 13): 0.2, (4, 13): 0.8}
(3, 13),W,{(1, 13): 0.2, (2, 13): 0.8}
(14, 13),N,{(14, 15): 0.2, (14, 14): 0.8}
(14, 13),S,{(14, 11): 0.2, (14, 12): 0.8}
(14, 13),E,{(16, 13): 0.2, (15, 13): 0.8}
(14, 13),W,{(12, 13): 0.2, (13, 13): 0.8}
(15, 5),N,{(15, 7): 0.2, (15, 6): 0.8}
(15, 5),S,{(15, 3): 0.2, (15, 4): 0.8}
(15, 5),E,{(17, 5): 0.2, (16, 5): 0.8}
(15, 5),W,{(13, 5): 0.2, (14, 5): 0.8}
(7, 1),N,{(7, 3): 0.2, (7, 2): 0.8}
(7, 1),S,{(7, 0): 1.0}
(7, 1),E,{(9, 1): 0.2, (8, 1): 0.8}
(7, 1),W,{(5, 1): 0.2, (6, 1): 0.8}
(18, 1),N,{(18, 3): 0.2, (18, 2): 0.8}
(18, 1),S,{(18, 0): 1.0}
(18, 1),E,{(20, 1): 0.2, (19, 1): 0.8}
(18, 1),W,{(16, 1): 0.2, (17, 1): 0.8}
(15, 14),N,{(15, 16): 0.2, (15, 15): 0.8}
(15, 14),S,{(15, 12): 0.2, (15, 13): 0.8}
(15, 14),E,{(17, 14): 0.2, (16, 14): 0.8}
(15, 14),W,{(13, 14): 0.2, (14, 14): 0.8}
(7, 10),N,{(7, 12): 0.2, (7, 11): 0.8}
(7, 10),S,{(7, 8): 0.2, (7, 9): 0.8}
(7, 10),E,{(9, 10): 0.2, (8, 10): 0.8}
(7, 10),W,{(5, 10): 0.2, (6, 10): 0.8}
(18, 10),N,{(18, 12): 0.2, (18, 11): 0.8}
(18, 10),S,{(18, 8): 0.2, (18, 9): 0.8}
(18, 10),E,{(20, 10): 0.2, (19, 10): 0.8}
(18, 10),W,{(16, 10): 0.2, (17, 10): 0.8}
